driver,stint,lap,car,lapTime,fuelCorrectedLaptime,calcElapsedTime,calcTimeToLeader,calcGapToLeader,lapsBehind,carLapAsRaceLap,stopCount,stopTime,stoppingLap,totalStopTime,tyres
H. KOVALAINEN,2,36,20,117.714,116.202,3121.255,8.457,126.063,1,37,1,0,0,26.477,
H. KOVALAINEN,2,37,20,114.204,112.728,3235.459,7.445,122.661,1,38,1,0,0,26.477,
H. KOVALAINEN,2,38,20,86.725,85.285,3322.184,13.134,94.17,1,39,1,0,0,26.477,
H. KOVALAINEN,2,39,20,83.79,82.386,3405.974,16.721,96.924,1,40,1,0,0,26.477,
H. KOVALAINEN,2,40,20,86.861,85.493,3492.835,23.922,103.582,1,41,1,0,0,26.477,
H. KOVALAINEN,2,41,20,84.804,83.472,3577.639,29.481,108.726,1,42,1,0,0,26.477,
H. KOVALAINEN,2,42,20,83.728,82.432,3661.367,33.462,113.209,1,43,1,0,0,26.477,
H. KOVALAINEN,2,43,20,82.514,81.254,3743.881,36.701,115.976,1,44,1,0,0,26.477,
H. KOVALAINEN,2,44,20,82.147,80.923,3826.028,39.624,118.848,1,45,1,0,0,26.477,
H. KOVALAINEN,2,45,20,81.831,80.643,3907.859,42.139,121.455,1,46,1,0,0,26.477,
H. KOVALAINEN,2,46,20,84.209,83.057,3992.068,47.309,126.348,1,47,1,0,0,26.477,
H. KOVALAINEN,2,47,20,82.22,81.104,4074.288,50.338,129.529,1,48,1,0,0,26.477,
H. KOVALAINEN,2,48,20,82.075,80.995,4156.363,52.957,132.413,1,49,1,0,0,26.477,
H. KOVALAINEN,2,49,20,82.454,81.41,4238.817,56.097,135.411,1,50,1,0,0,26.477,
H. KOVALAINEN,2,50,20,82.867,81.859,4321.684,59.493,138.964,1,51,1,0,0,26.477,
H. KOVALAINEN,2,51,20,83.21,82.238,4404.894,63.304,142.703,1,52,1,0,0,26.477,
H. KOVALAINEN,2,52,20,101.407,100.471,4506.301,5.297,164.711,2,54,2,25.878,1,52.355,
H. KOVALAINEN,3,53,20,87.913,87.013,4594.214,13.702,173.037,2,55,2,0,0,52.355,
H. KOVALAINEN,3,54,20,80.678,79.814,4674.892,14.417,173.888,2,56,2,0,0,52.355,
H. KOVALAINEN,3,55,20,81.143,80.315,4756.035,16.215,175.523,2,57,2,0,0,52.355,
H. KOVALAINEN,3,56,20,82.022,81.23,4838.057,19.019,177.582,2,58,2,0,0,52.355,
H. KOVALAINEN,3,57,20,80.774,80.018,4918.831,20.722,179.011,2,59,2,0,0,52.355,
H. KOVALAINEN,3,58,20,80.915,80.195,4999.746,22.591,180.708,2,60,2,0,0,52.355,
H. KOVALAINEN,3,59,20,83.113,82.429,5082.859,26.515,184.75,2,61,2,0,0,52.355,
H. KOVALAINEN,3,60,20,84.674,84.026,5167.533,31.562,190.378,2,62,2,0,0,52.355,
H. KOVALAINEN,3,61,20,86.98,86.368,5254.513,38.795,198.169,2,63,2,0,0,52.355,
H. KOVALAINEN,3,62,20,83.945,83.369,5338.458,43.417,202.487,2,64,2,0,0,52.355,
H. KOVALAINEN,3,63,20,81.872,81.332,5420.33,45.478,204.612,2,65,2,0,0,52.355,
H. KOVALAINEN,3,64,20,81.835,81.331,5502.165,47.831,207.124,2,66,2,0,0,52.355,
H. KOVALAINEN,3,65,20,81.488,81.02,5583.653,48.908,208.801,2,67,2,0,0,52.355,
H. KOVALAINEN,3,66,20,81.453,81.021,5665.106,50.582,210.772,2,68,2,0,0,52.355,
H. KOVALAINEN,3,67,20,98.026,97.63,5763.132,62.896,228.387,2,69,2,0,0,52.355,
H. KOVALAINEN,3,68,20,115.663,115.303,5878.795,49.03,264.271,2,70,2,0,0,52.355,
H. KOVALAINEN,3,69,20,95.049,94.725,5973.844,20.424,273.608,2,71,2,0,0,52.355,
H. KOVALAINEN,3,70,20,1304.566,1304.278,7278.41,11.949,1448.645,2,72,2,0,0,52.355,
H. KOVALAINEN,3,71,20,122.799,122.547,7401.209,9.346,1447.789,2,73,2,0,0,52.355,
H. KOVALAINEN,3,72,20,89.488,89.272,7490.697,20.619,224.236,2,74,2,0,0,52.355,
H. KOVALAINEN,3,73,20,83.84,83.66,7574.537,25.927,182.674,2,75,2,0,0,52.355,
H. KOVALAINEN,3,74,20,81.719,81.575,7656.256,30.707,186.178,2,76,2,0,0,52.355,
H. KOVALAINEN,3,75,20,81.858,81.75,7738.114,36.008,189.504,2,77,2,0,0,52.355,
